Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ayt7dDD8PQoAh8TzK3T2n,Baeed Hesabaty,Maghool Hawia,One ZizO,2024-08-29,211970,16,false,,2025-11-18T19:10:08Z,"egyptian hip hop,arabic hip hop",One Zizo,0.775,0.654,6,-6.356,0,0.338,0.282,0,0.085,0.581,91.157,5
spotify:track:0691PqDROjcMr8TyRP74Be,Msh Gaya M3ako,Msh Gaya M3ako,Mr Kordy;Hesham Raptor;Ali Cj,2024-07-18,253333,19,true,,2025-11-17T02:33:55Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",Takwene,0.758,0.519,2,-10.828,1,0.239,0.527,0,0.126,0.495,143.961,4
spotify:track:3nEfVZ32UAPofVTFDEFVTe,Drama (feat. R3),Drama (feat. R3),Arsenik;R3,2020-10-14,152620,32,true,,2025-11-17T02:32:56Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat,big band,christian jazz",WinWay,0.836,0.755,1,-10.514,0,0.264,0.2,0,0.162,0.48,139.903,4
spotify:track:4e2VUPlAzbvD1lK0Q3JDeq,HNFGR,HNFGR,Arsenik,2024-07-31,184633,42,false,,2025-11-17T02:28:48Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Arsenik,0.897,0.524,1,-6.323,1,0.0789,0.0105,0,0.132,0.328,130.064,4
spotify:track:4XJVwELcAQ6UxYSexeGsiW,BBLŞH,PRJKTBLUBEAM,Marwan Pablo,2024-08-15,132003,42,false,,2025-11-17T02:10:04Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Quality Clique,0.702,0.559,8,-9.558,1,0.13,0.269,0.00199,0.144,0.494,90.004,4
spotify:track:3d7rmWQj2AaH81tdD2qrRB,BŃŅIT,PRJKTBLUBEAM,Marwan Pablo,2024-08-15,151021,43,false,,2025-11-17T02:10:03Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Quality Clique,0.76,0.659,4,-8.23,0,0.18,0.419,0.0000096,0.107,0.372,169.905,4
spotify:track:026wpXkLAjImiWOzzcJBHj,Good Looking,Good Looking,Suki Waterhouse,2022-08-18,214800,87,false,,2025-11-13T01:36:25Z,,Sub Pop Records,0.358,0.557,4,-9.076,1,0.03,0.0794,0.00035,0.125,0.272,150.108,3
spotify:track:2qpacEyFxmbxCpIEqZkqvC,You Are the Right One,Naked All the Time,Sports,2015-07-24,172506,79,false,,2025-11-13T01:35:20Z,,Sports,0.659,0.594,4,-8.494,0,0.0261,0.162,0.846,0.632,0.851,100.033,4
spotify:track:0VF7YLIxSQKyNiFL3X6MmN,Stargazing,Chip Chrome & The Mono-Tones (Deluxe),The Neighbourhood,2020-12-11,217026,72,false,,2025-11-13T01:27:14Z,,Columbia,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,4
spotify:track:7wBJfHzpfI3032CSD7CE2m,STARGAZING,ASTROWORLD,Travis Scott,2018-08-03,270714,77,true,,2025-11-08T23:21:55Z,rap,Cactus Jack / Epic,0.487,0.789,8,-3.69,1,0.044,0.00947,0.00000405,0.189,0.0564,150.007,4
